,tweet_id,tweet_id.1,line,scatter,bar,heat_map,box,bubble,sankey,chord,radial,area,donut,geo_map,tree_map,pie,stream_graph,hexabin,graph,parallel_coordinate,sunburst,waffle,voronoi,word_cloud,contour,filled_line,infograph,other,no_vis,article_img,retweets,replies,likes,quotes,has_viz,user,text,date,viz_type,total_interac
0,1354851779272388616,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,abmakulec,"Early data on the COVID-19 vaccine rollout has caused justifiable alarm around inequitable distribution of vaccine. Plus, race/ethnicity data is only being reported in a sub-set of states, and those who are reporting have tons of missing data.
Ex: https://t.co/BoutudCsex /1 https://t.co/qvgWncvxos https://t.co/2ugKMFt9Sf",1/28/21 18:00,Bar,4
1,1353016312520450054,2,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,11,555,20,1,abmakulec,"With so much focus on the COVID vaccine, it's a good time to resurface this series from the @WSJ. The graphics illustrate the immense impact vaccines have had on human health over time. 

Just watch the colors fade after the line for vaccine introduction. https://t.co/g0GTC3eYSV https://t.co/oGXfnpFAQJ",1/23/21 16:26,Map,793
2,1352429887240462336,3,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,17,0,1,abmakulec,#dataviz readers &amp; creators: Please don't conflate doses administered of the COVID-19 vaccine with the share of the population vaccinated. The approved vaccines to date are TWO DOSE regimens. Doses ≠ people. See clear text caveats from @OurWorldInData https://t.co/o9iWU9twAO /1 https://t.co/eb5brNO93e,1/22/21 1:36,Line,22
3,1375005847789654018,4,1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,1,2,abmakulec,"I was surprised by these numbers, given the reporting I'd seen previously about 'silver linings' of the pandemic (fewer mass shootings) in the US where we have more guns per person than almost any other country.

The June bump in gun sales is staggering to me.

CW: suicide /1 https://t.co/U4Ny6rGfKm https://t.co/yWMWwn3E2i",3/25/21 8:45,"Bar,Line",15
4,1397228668527730689,5,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,abmakulec,"@brickplain @AmberSchmidtke @CDCgov Consider other fields that we'd like to have complete information from but don't: @KFF has been tracking the completeness of race/ethnicity data for COVID-19 cases. As of May 3, 11 states were missing that information from more than half of reported cases. https://t.co/kA1eZhS98C https://t.co/GO5EAaoFW5",5/25/21 16:30,Bar,2
5,1417898183095640064,6,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,abmakulec,"Across LMICs, 4 in 5 people indicated they would be willing to receive a COVID-19 vaccine (see GAVI link). Low vaccination rates in the Global South aren't an issue of demand: they're an issue of supply.

Image: @MaxCRoser @OurWorldInData  https://t.co/MZBCHpvLjA https://t.co/B6fQSM25ss",7/21/21 17:24,Other,0
6,1497382652101419012,7,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,0,1,abmakulec,"Hospitalizations lag cases...so we're basically shifting even more firmly to the 'let it rip' model, with no regard for #longcovid issues or the lack of vaccine protections for U5's.

Yes, science should evolve with new evidence but this just feels like negligence. https://t.co/MGawRBsh2D https://t.co/oDwM3s0Gqg",2/26/22 1:26,Other,23
7,1518222185613217794,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,abmakulec,"I know the CDC 'community levels' map  looks really green. But many public health folks are also focused on other metrics like wastewater surveillance.

64% of monitoring sites show an ⬆️ in virus over the last 15d. Tell me again how the pandemic is over? https://t.co/RlZHPYDFBj https://t.co/jve1xyqABB",4/24/22 13:35,Infographics,7
8,1221744290449252353,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,alicesim,RT @lorenzomoja: Do you want a quick update on novel coronavirus? And some data ? https://t.co/FdNALra3vB,1/27/20 10:38,Infographics,5
9,1220420816359317505,10,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,alicesim,@WHO IPC recommended method for #handhygiene to prevent infections #IPAC #IPC #coronavirus #who @DidierPittet https://t.co/Hvb81jKRzN,1/23/20 18:59,Other,8
